objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,specobjid,class,redshift,plate,mjd,fiberid
1237658423552901333,157.897730772934,6.52742131820164,19.49538,17.57041,16.56035,16.11744,15.70552,3015,301,3,292,15.91521,93.72044,237.608,357.2925,522.144,1124838097712867328,GALAXY,0.1051384,999,52636,233
1237662666427007340,248.857608212105,22.9147864901587,19.28325,17.36151,16.36488,15.89617,15.52855,4003,301,2,37,19.34976,113.6046,284.4777,438.0599,614.5811,1768917724639029248,GALAXY,0.09901231,1571,53174,469
1237662300838690873,248.768550173929,28.4511819996693,16.81908,15.89436,15.61674,15.51176,15.49992,3918,301,1,354,187.2261,438.7885,566.6365,624.1625,631.0054,3319275047549429760,STAR,-0.0006266193,2948,54553,444
1237657772320030765,147.758661220201,52.5795335852364,18.50428,17.18319,16.70751,16.52535,16.481,2863,301,6,163,39.65372,133.8825,207.4899,245.3918,255.6213,3738101847458684928,STAR,-5.37986e-05,3320,54912,415
1237661388681314324,223.578176701821,52.2444191565174,17.73399,16.81447,16.54037,16.43217,16.34778,3705,301,6,145,80.61266,188.0232,242.0199,267.3826,288.9904,9453189339997818880,STAR,-0.000744551,8396,57837,486
1237654651498004488,146.623848094123,52.4685428883066,17.36755,16.2922,15.96463,15.85294,15.86496,2137,301,1,294,112.9745,304.1725,411.2896,455.8515,450.8304,2706671135780530176,STAR,-0.0001505678,2404,53764,28
1237664092359360812,124.094626125245,21.3833253271825,18.71954,17.87196,17.64278,17.46593,17.38384,4335,301,2,86,32.52194,70.99324,87.67691,103.1878,111.2871,2167502512024741888,GALAXY,0.04118291,1925,53327,528
1237658300063350857,141.120708160187,6.00321681474932,18.55748,16.98107,16.43316,16.23448,16.12643,2986,301,5,151,37.75747,161.2775,267.1368,320.7794,354.3448,2681950272892200960,STAR,0.0001960871,2382,54169,206
1237651737370558602,186.880119311569,3.25971893752936,16.75881,15.30172,14.6237,14.26018,13.98579,1458,301,5,414,197.9135,757.3769,1414.235,1976.642,2544.967,584510315232782336,GALAXY,0.04874489,519,52283,612
1237662263251763282,234.851249625539,6.15401106149628,17.98574,16.79392,16.25927,15.93246,15.85834,3909,301,3,263,63.92961,191.6167,313.5389,423.6592,453.5887,2067263356259035136,GALAXY,0.04919187,1836,54567,404
1237661852002811997,173.754776208764,45.1249339843239,17.99851,16.82689,16.28286,15.97107,15.77231,3813,301,5,174,63.18208,185.8856,306.8011,408.8568,490.9945,1538142051856574464,GALAXY,0.04488215,1366,53063,592
1237664879951413345,145.500221975987,31.4889493889559,17.07786,16.97479,17.36762,17.65178,17.91929,4518,301,5,123,147.5219,162.2128,112.967,86.95318,67.9565,6537049182028713984,STAR,-0.0002425322,5806,56310,270
1237665367427318000,152.70492857355,27.3386876073756,18.95134,17.54095,17.0552,16.81272,16.72017,4632,301,1,79,26.26954,96.29897,150.6331,188.3269,205.0807,2642632279926532096,GALAXY,0.0205547,2347,53757,528
